2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,6:00 PM,BIT120,E,Business & Information Systems Practices,4,6:00 PM-6:50 PM,MTWHF,Andrew Nielsen,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,6:00 PM,CSC160,,Application Development,4,6:00 PM-7:30 PM,MWH,Jeff Christensen,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,7:30 AM,PRO280,A2,Scalable Web Applications Lab,2,7:30 AM-9:20 AM,MTWHF,Ron Price,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,8:00 AM,FAC101,A2,Art Appreciation,2,8:00 AM-8:50 AM,MTWHF,Timothy Parker,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,8:00 AM,MTM320,,Advanced Web Scripting,4,8:00 AM-8:50 AM,MTWHF,Tom Beatty,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,8:00 AM,PRO301,2,Project Management in Practice,2,8:00 AM-9:50 AM,MTWHF,Jerry Pay,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,8:00 AM,SSC310,A,American Legal System,3,8:00 AM-8:50 AM,TWHF,Mark Herrera,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,9:00 AM,CSC210,F2,Introduction to Web Presentation and Development,2,9:00 AM-9:50 AM,MTWHF,Tom Beatty,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,9:00 AM,HUM200,A2,The Imagination of Horror in Media,2,9:00 AM-9:50 AM,MTWHF,Brandon Berrett,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,9:00 AM,MTM410,2,Digital Portfolio,2,9:00 AM-9:50 AM,MTWHF,Timothy Parker,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,9:00 AM,PRO470,2M,Project Management Project,2,9:00 AM-10:50 AM,MTWHF,John Kane,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 2,Code,Section,Course,Credits,Course Time,Days,Instructor,9:00 AM,PSC226,A2,Introductory Physics,2,9:00 AM-9:50 AM,MTWHF,Mark Herrera,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
